"","score","asfeeling"
"282",77,"Strongly Favorable"
"283",90,"Strongly Favorable"
"284",90,"Strongly Favorable"
"285",75,"Lightly Favorable"
"286",52,"Lightly Favorable"
"287",61,"Lightly Favorable"
"288",45,"Unfavorable"
"289",74,"Lightly Favorable"
"290",80,"Strongly Favorable"
"291",70,"Lightly Favorable"
"292",100,"Strongly Favorable"
"293",50,"Unfavorable"
"294",95,"Strongly Favorable"
"295",100,"Strongly Favorable"
"296",73,"Lightly Favorable"
"297",16,"Strongly unfavorable"
"298",91,"Strongly Favorable"
"299",51,"Lightly Favorable"
"300",88,"Strongly Favorable"
"301",50,"Unfavorable"
"302",50,"Unfavorable"
"303",50,"Unfavorable"
"304",100,"Strongly Favorable"
"305",53,"Lightly Favorable"
"306",52,"Lightly Favorable"
"307",100,"Strongly Favorable"
"308",70,"Lightly Favorable"
"309",77,"Strongly Favorable"
"310",90,"Strongly Favorable"
"311",79,"Strongly Favorable"
"312",88,"Strongly Favorable"
"313",95,"Strongly Favorable"
"314",84,"Strongly Favorable"
"315",90,"Strongly Favorable"
"316",9,"Strongly unfavorable"
"317",95,"Strongly Favorable"
"318",30,"Unfavorable"
"319",48,"Unfavorable"
"320",50,"Unfavorable"
"321",75,"Lightly Favorable"
"322",95,"Strongly Favorable"
"323",94,"Strongly Favorable"
"324",82,"Strongly Favorable"
"325",78,"Strongly Favorable"
"326",50,"Unfavorable"
"327",70,"Lightly Favorable"
"328",25,"Strongly unfavorable"
"329",45,"Unfavorable"
"330",100,"Strongly Favorable"
"331",61,"Lightly Favorable"
"332",75,"Lightly Favorable"
"333",70,"Lightly Favorable"
"334",81,"Strongly Favorable"
"335",39,"Unfavorable"
"336",49,"Unfavorable"
"337",91,"Strongly Favorable"
"338",30,"Unfavorable"
"339",51,"Lightly Favorable"
"340",41,"Unfavorable"
"341",71,"Lightly Favorable"
"342",100,"Strongly Favorable"
"343",100,"Strongly Favorable"
"344",100,"Strongly Favorable"
"345",50,"Unfavorable"
"346",98,"Strongly Favorable"
"347",80,"Strongly Favorable"
"348",100,"Strongly Favorable"
"349",84,"Strongly Favorable"
"350",53,"Lightly Favorable"
"351",50,"Unfavorable"
"352",82,"Strongly Favorable"
"353",89,"Strongly Favorable"
"354",90,"Strongly Favorable"
"355",50,"Unfavorable"
"356",50,"Unfavorable"
"357",100,"Strongly Favorable"
"358",50,"Unfavorable"
"359",90,"Strongly Favorable"
"360",78,"Strongly Favorable"
"361",96,"Strongly Favorable"
"362",92,"Strongly Favorable"
"363",78,"Strongly Favorable"
"364",93,"Strongly Favorable"
"365",99,"Strongly Favorable"
"366",66,"Lightly Favorable"
"367",60,"Lightly Favorable"
"368",50,"Unfavorable"
"369",61,"Lightly Favorable"
"370",72,"Lightly Favorable"
"371",84,"Strongly Favorable"
"372",89,"Strongly Favorable"
"373",81,"Strongly Favorable"
"374",27,"Unfavorable"
"375",62,"Lightly Favorable"
"376",29,"Unfavorable"
"377",100,"Strongly Favorable"
"378",100,"Strongly Favorable"
"379",85,"Strongly Favorable"
"380",50,"Unfavorable"
"381",50,"Unfavorable"
"382",97,"Strongly Favorable"
"383",50,"Unfavorable"
"384",99,"Strongly Favorable"
"385",51,"Lightly Favorable"
"386",77,"Strongly Favorable"
"387",50,"Unfavorable"
"388",97,"Strongly Favorable"
"389",52,"Lightly Favorable"
"390",75,"Lightly Favorable"
"391",100,"Strongly Favorable"
"392",89,"Strongly Favorable"
"393",70,"Lightly Favorable"
"394",90,"Strongly Favorable"
"395",51,"Lightly Favorable"
"396",100,"Strongly Favorable"
"397",82,"Strongly Favorable"
"398",10,"Strongly unfavorable"
"399",79,"Strongly Favorable"
"400",75,"Lightly Favorable"
"401",80,"Strongly Favorable"
"402",69,"Lightly Favorable"
"403",61,"Lightly Favorable"
"404",56,"Lightly Favorable"
"405",50,"Unfavorable"
"406",69,"Lightly Favorable"
"407",28,"Unfavorable"
"408",64,"Lightly Favorable"
"409",65,"Lightly Favorable"
"410",46,"Unfavorable"
"411",87,"Strongly Favorable"
"412",100,"Strongly Favorable"
"413",50,"Unfavorable"
"414",83,"Strongly Favorable"
"415",76,"Strongly Favorable"
"416",100,"Strongly Favorable"
"417",55,"Lightly Favorable"
"418",50,"Unfavorable"
"419",90,"Strongly Favorable"
"420",50,"Unfavorable"
"421",40,"Unfavorable"
"422",80,"Strongly Favorable"
"423",99,"Strongly Favorable"
"424",77,"Strongly Favorable"
"425",60,"Lightly Favorable"
"426",60,"Lightly Favorable"
"427",51,"Lightly Favorable"
"428",91,"Strongly Favorable"
"429",50,"Unfavorable"
"430",95,"Strongly Favorable"
"431",95,"Strongly Favorable"
"432",98,"Strongly Favorable"
"433",45,"Unfavorable"
"434",54,"Lightly Favorable"
"435",96,"Strongly Favorable"
"436",99,"Strongly Favorable"
"437",50,"Unfavorable"
"438",19,"Strongly unfavorable"
"439",78,"Strongly Favorable"
"440",100,"Strongly Favorable"
"441",50,"Unfavorable"
"442",50,"Unfavorable"
"443",75,"Lightly Favorable"
"444",10,"Strongly unfavorable"
"445",66,"Lightly Favorable"
"446",20,"Strongly unfavorable"
"447",51,"Lightly Favorable"
"448",49,"Unfavorable"
"449",72,"Lightly Favorable"
"450",57,"Lightly Favorable"
"451",45,"Unfavorable"
"452",100,"Strongly Favorable"
"453",82,"Strongly Favorable"
"454",50,"Unfavorable"
"455",50,"Unfavorable"
"456",100,"Strongly Favorable"
"457",70,"Lightly Favorable"
"458",90,"Strongly Favorable"
"459",55,"Lightly Favorable"
"460",60,"Lightly Favorable"
"461",11,"Strongly unfavorable"
"462",31,"Unfavorable"
"463",45,"Unfavorable"
"464",100,"Strongly Favorable"
"465",100,"Strongly Favorable"
"466",82,"Strongly Favorable"
"467",100,"Strongly Favorable"
"468",90,"Strongly Favorable"
"469",59,"Lightly Favorable"
"470",81,"Strongly Favorable"
"471",100,"Strongly Favorable"
"472",95,"Strongly Favorable"
"473",50,"Unfavorable"
"474",52,"Lightly Favorable"
"475",51,"Lightly Favorable"
"476",51,"Lightly Favorable"
"477",50,"Unfavorable"
"478",56,"Lightly Favorable"
"479",75,"Lightly Favorable"
"480",86,"Strongly Favorable"
"481",52,"Lightly Favorable"
"482",89,"Strongly Favorable"
"483",50,"Unfavorable"
"484",91,"Strongly Favorable"
"485",91,"Strongly Favorable"
"486",100,"Strongly Favorable"
"487",100,"Strongly Favorable"
"488",100,"Strongly Favorable"
"489",65,"Lightly Favorable"
"490",100,"Strongly Favorable"
"491",89,"Strongly Favorable"
"492",92,"Strongly Favorable"
"493",73,"Lightly Favorable"
"494",84,"Strongly Favorable"
"495",60,"Lightly Favorable"
"496",73,"Lightly Favorable"
"497",67,"Lightly Favorable"
"498",56,"Lightly Favorable"
"499",19,"Strongly unfavorable"
"500",50,"Unfavorable"
"501",52,"Lightly Favorable"
"502",100,"Strongly Favorable"
"503",80,"Strongly Favorable"
"504",89,"Strongly Favorable"
"505",85,"Strongly Favorable"
"506",58,"Lightly Favorable"
"507",42,"Unfavorable"
"508",82,"Strongly Favorable"
"509",82,"Strongly Favorable"
"510",60,"Lightly Favorable"
"511",90,"Strongly Favorable"
